search_term_id,keyword_id,ad_group_id,campaign_id,customer_id,search_term,keyword_text,match_type,search_term_match_type,date,clicks,impressions,cost_micros,conversions,conversion_value,ctr,avg_cpc_micros,created_at
26,6265362093_183978226496_*,183978226496,22837421944,6265362093,bulk whatsapp message,whatsapp broadcast,EXACT,NEAR_EXACT,2025-08-20,0,4,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
27,6265362093_183978226496_*,183978226496,22837421944,6265362093,wati whatsapp,wati whatsapp,EXACT,EXACT,2025-08-20,1,4,63799895,0.0,0.0,0.25,63799895.0,2025-09-15 16:54:28
28,6265362093_183978226496_*,183978226496,22837421944,6265362093,watti,wati,EXACT,NEAR_EXACT,2025-08-20,0,3,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
29,6265362093_183978226496_*,183978226496,22837421944,6265362093,whatsapp cloud api,whatsapp business api,EXACT,NEAR_EXACT,2025-08-20,0,3,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
30,6265362093_183978226496_*,183978226496,22837421944,6265362093,whatsapp ai chat,whatsapp chatbot api,EXACT,NEAR_EXACT,2025-08-20,0,3,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
31,6265362093_183978226496_*,183978226496,22837421944,6265362093,whatsapp broadcast,whatsapp broadcast,EXACT,EXACT,2025-08-19,2,3,95194894,0.0,0.0,0.6666666666666666,47597447.0,2025-09-15 16:54:28
32,6265362093_183978226496_*,183978226496,22837421944,6265362093,how does whatsapp broadcast work,whatsapp broadcast,EXACT,NEAR_EXACT,2025-08-20,0,3,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
33,6265362093_183978226496_*,183978226496,22837421944,6265362093,whatsapp blast,whatsapp broadcast,EXACT,NEAR_EXACT,2025-08-20,0,3,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
34,6265362093_183978226496_*,183978226496,22837421944,6265362093,whatsapp broadcast message,whatsapp broadcast,EXACT,NEAR_EXACT,2025-08-20,1,3,75080000,0.0,0.0,0.3333333333333333,75080000.0,2025-09-15 16:54:28
35,6265362093_183978226496_*,183978226496,22837421944,6265362093,whatsapp api setup,whatsapp api integration,EXACT,NEAR_EXACT,2025-08-20,0,3,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
36,6265362093_183978226496_*,183978226496,22837421944,6265362093,broadcast in whatsapp,sending broadcast on whatsapp,EXACT,NEAR_EXACT,2025-08-21,0,3,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
37,6265362093_183978226496_*,183978226496,22837421944,6265362093,whatsapp broadcast,sending broadcast on whatsapp,EXACT,NEAR_EXACT,2025-08-21,0,3,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
38,6265362093_183978226496_*,183978226496,22837421944,6265362093,wati whatsapp,wati whatsapp,EXACT,EXACT,2025-08-19,2,3,147183166,0.0,0.0,0.6666666666666666,73591583.0,2025-09-15 16:54:28
39,6265362093_183978226496_*,183978226496,22837421944,6265362093,watti,wati,EXACT,NEAR_EXACT,2025-08-19,0,2,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
40,6265362093_183978226496_*,183978226496,22837421944,6265362093,wati for whatsapp,wati,EXACT,NEAR_EXACT,2025-08-20,0,2,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
41,6265362093_183978226496_*,183978226496,22837421944,6265362093,api whatsapp,whatsapp api,EXACT,NEAR_EXACT,2025-08-19,1,2,87080000,0.0,0.0,0.5,87080000.0,2025-09-15 16:54:28
42,6265362093_183978226496_*,183978226496,22837421944,6265362093,web api whatsapp,whatsapp api,EXACT,NEAR_EXACT,2025-08-19,0,2,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
43,6265362093_183978226496_*,183978226496,22837421944,6265362093,whatsapp chat api,whatsapp api,EXACT,NEAR_EXACT,2025-08-20,1,2,69120000,2.0,0.0,0.5,69120000.0,2025-09-15 16:54:28
44,6265362093_183978226496_*,183978226496,22837421944,6265362093,whatsapp group api,whatsapp api,EXACT,NEAR_EXACT,2025-08-20,0,2,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
45,6265362093_183978226496_*,183978226496,22837421944,6265362093,whatsapp api service,whatsapp api,EXACT,NEAR_EXACT,2025-08-21,1,2,62370375,0.0,0.0,0.5,62370375.0,2025-09-15 16:54:28
46,6265362093_183978226496_*,183978226496,22837421944,6265362093,whatsapp message api,whatsapp api,EXACT,NEAR_EXACT,2025-08-21,1,2,66780000,0.0,0.0,0.5,66780000.0,2025-09-15 16:54:28
47,6265362093_183978226496_*,183978226496,22837421944,6265362093,whatsapp message through api,whatsapp api,EXACT,NEAR_EXACT,2025-08-21,0,2,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
48,6265362093_183978226496_*,183978226496,22837421944,6265362093,apply for whatsapp business api,whatsapp business api,EXACT,NEAR_EXACT,2025-08-19,1,2,86340945,0.0,0.0,0.5,86340945.0,2025-09-15 16:54:28
49,6265362093_183978226496_*,183978226496,22837421944,6265362093,whatsapp business api messages,whatsapp business api,EXACT,NEAR_EXACT,2025-08-19,0,2,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
50,6265362093_183978226496_*,183978226496,22837421944,6265362093,business whatsapp api,whatsapp business api,EXACT,NEAR_EXACT,2025-08-20,0,2,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
51,6265362093_183978226496_*,183978226496,22837421944,6265362093,how does broadcast work on whatsapp,whatsapp broadcast,EXACT,NEAR_EXACT,2025-08-19,0,2,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
52,6265362093_183978226496_*,183978226496,22837421944,6265362093,how to broadcast message in whatsapp,whatsapp broadcast,EXACT,NEAR_EXACT,2025-08-19,0,2,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
53,6265362093_183978226496_*,183978226496,22837421944,6265362093,how to send broadcast message on whatsapp,whatsapp broadcast,EXACT,NEAR_EXACT,2025-08-19,0,2,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
54,6265362093_183978226496_*,183978226496,22837421944,6265362093,whatsapp broadcasting services,whatsapp broadcast,EXACT,NEAR_EXACT,2025-08-19,1,2,73930000,0.0,0.0,0.5,73930000.0,2025-09-15 16:54:28
55,6265362093_183978226496_*,183978226496,22837421944,6265362093,whatsapp sms blast,whatsapp broadcast,EXACT,NEAR_EXACT,2025-08-20,0,2,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
56,6265362093_183978226496_*,183978226496,22837421944,6265362093,whatsapp web broadcast,whatsapp broadcast,EXACT,NEAR_EXACT,2025-08-20,0,2,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
57,6265362093_183978226496_*,183978226496,22837421944,6265362093,how to use whatsapp api,whatsapp api integration,EXACT,NEAR_EXACT,2025-08-19,2,2,170380000,0.0,0.0,1.0,85190000.0,2025-09-15 16:54:28
58,6265362093_183978226496_*,183978226496,22837421944,6265362093,how to use whatsapp api,whatsapp api integration,EXACT,NEAR_EXACT,2025-08-20,0,2,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
59,6265362093_183978226496_*,183978226496,22837421944,6265362093,whatsapp business integration,whatsapp business integration,EXACT,EXACT,2025-08-20,0,2,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
60,6265362093_183978226496_*,183978226496,22837421944,6265362093,whatsapp api to send messages,whatsapp api to send messages,EXACT,EXACT,2025-08-20,0,2,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
61,6265362093_183978226496_*,183978226496,22837421944,6265362093,whatsapp bot,whatsapp api bot,EXACT,NEAR_EXACT,2025-08-20,1,2,76490000,0.0,0.0,0.5,76490000.0,2025-09-15 16:54:28
62,6265362093_183978226496_*,183978226496,22837421944,6265362093,whatsapp robots,whatsapp api bot,EXACT,NEAR_EXACT,2025-08-20,0,2,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
63,6265362093_183978226496_*,183978226496,22837421944,6265362093,whatsapp bot,whatsapp api bot,EXACT,NEAR_EXACT,2025-08-21,1,2,66970000,0.0,0.0,0.5,66970000.0,2025-09-15 16:54:28
64,6265362093_183978226496_*,183978226496,22837421944,6265362093,whatsapp chatbot,whatsapp api bot,EXACT,NEAR_EXACT,2025-08-21,0,2,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
65,6265362093_183978226496_*,183978226496,22837421944,6265362093,whatsapp cloud api bot,whatsapp api bot,EXACT,NEAR_EXACT,2025-08-21,0,2,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
66,6265362093_183978226496_*,183978226496,22837421944,6265362093,whatsapp ai chat,whatsapp api chatbot,EXACT,NEAR_EXACT,2025-08-20,0,2,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
67,6265362093_183978226496_*,183978226496,22837421944,6265362093,whatsapp chatbot,whatsapp api chatbot,EXACT,NEAR_EXACT,2025-08-20,0,2,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
68,6265362093_183978226496_*,183978226496,22837421944,6265362093,gupshup whatsapp,gupshup whatsapp api,EXACT,NEAR_EXACT,2025-08-20,0,2,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
69,6265362093_183978226496_*,183978226496,22837421944,6265362093,how to send bulk messages in whatsapp business,whatsapp broadcast for business,EXACT,NEAR_EXACT,2025-08-21,0,2,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
70,6265362093_183978226496_*,183978226496,22837421944,6265362093,whatsapp message broadcast software,whatsapp business broadcast,EXACT,NEAR_EXACT,2025-08-20,1,2,72090000,0.0,0.0,0.5,72090000.0,2025-09-15 16:54:28
71,6265362093_183978226496_*,183978226496,22837421944,6265362093,how to create broadcast in whatsapp,sending broadcast on whatsapp,EXACT,NEAR_EXACT,2025-08-20,0,2,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
72,6265362093_183978226496_*,183978226496,22837421944,6265362093,broadcast message in whatsapp,sending broadcast on whatsapp,EXACT,NEAR_EXACT,2025-08-21,0,2,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
73,6265362093_183978226496_*,183978226496,22837421944,6265362093,broadcast message on whatsapp,sending broadcast on whatsapp,EXACT,NEAR_EXACT,2025-08-21,0,2,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
74,6265362093_183978226496_*,183978226496,22837421944,6265362093,how to broadcast message on whatsapp,sending broadcast on whatsapp,EXACT,NEAR_EXACT,2025-08-21,1,2,66150000,0.0,0.0,0.5,66150000.0,2025-09-15 16:54:28
75,6265362093_183978226496_*,183978226496,22837421944,6265362093,how to send a broadcast message on whatsapp,sending broadcast on whatsapp,EXACT,NEAR_EXACT,2025-08-21,0,2,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
76,6265362093_183978226496_*,183978226496,22837421944,6265362093,how to send broadcast message on whatsapp,sending broadcast on whatsapp,EXACT,NEAR_EXACT,2025-08-21,0,2,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
77,6265362093_183978226496_*,183978226496,22837421944,6265362093,whatsapp api chat,whatsapp api for sending messages,EXACT,NEAR_EXACT,2025-08-20,0,2,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
78,6265362093_183978226496_*,183978226496,22837421944,6265362093,whatsapp api send message,whatsapp api for sending messages,EXACT,NEAR_EXACT,2025-08-20,0,2,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
79,6265362093_183978226496_*,183978226496,22837421944,6265362093,whatsapp wati,wati whatsapp,EXACT,NEAR_EXACT,2025-08-19,0,2,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
80,6265362093_183978226496_*,183978226496,22837421944,6265362093,whatsapp interakt,interakt whatsapp api,EXACT,NEAR_EXACT,2025-08-20,0,2,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
81,6265362093_183978226496_*,183978226496,22837421944,6265362093,whatsapp api india,whatsapp api wati,EXACT,NEAR_EXACT,2025-08-20,0,2,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
82,6265362093_183978226496_*,183978226496,22837421944,6265362093,whatsapp otp api,whatsapp api wati,EXACT,NEAR_EXACT,2025-08-20,0,2,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
83,6265362093_183978226496_*,183978226496,22837421944,6265362093,whatsapp business account waba,whatsapp business account waba,EXACT,EXACT,2025-08-19,1,2,86100000,0.0,0.0,0.5,86100000.0,2025-09-15 16:54:28
84,6265362093_183978226496_*,183978226496,22837421944,6265362093,wati software,wati,EXACT,NEAR_EXACT,2025-08-19,0,1,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
85,6265362093_183978226496_*,183978226496,22837421944,6265362093,wati software,wati,EXACT,NEAR_EXACT,2025-08-20,1,1,70430000,0.0,0.0,1.0,70430000.0,2025-09-15 16:54:28
86,6265362093_183978226496_*,183978226496,22837421944,6265362093,whatty,wati,EXACT,NEAR_EXACT,2025-08-20,0,1,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
87,6265362093_183978226496_*,183978226496,22837421944,6265362093,wa business api,whatsapp api,EXACT,NEAR_EXACT,2025-08-19,0,1,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
88,6265362093_183978226496_*,183978226496,22837421944,6265362093,whats web api,whatsapp api,EXACT,NEAR_EXACT,2025-08-19,0,1,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
89,6265362093_183978226496_*,183978226496,22837421944,6265362093,whatsapp api message,whatsapp api,EXACT,NEAR_EXACT,2025-08-19,0,1,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
90,6265362093_183978226496_*,183978226496,22837421944,6265362093,whatsapp web api,whatsapp api,EXACT,NEAR_EXACT,2025-08-19,0,1,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
91,6265362093_183978226496_*,183978226496,22837421944,6265362093,whatsapp webapi,whatsapp api,EXACT,NEAR_EXACT,2025-08-19,0,1,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
92,6265362093_183978226496_*,183978226496,22837421944,6265362093,cloud api whatsapp,whatsapp api,EXACT,NEAR_EXACT,2025-08-20,0,1,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
93,6265362093_183978226496_*,183978226496,22837421944,6265362093,waba api,whatsapp api,EXACT,NEAR_EXACT,2025-08-20,0,1,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
94,6265362093_183978226496_*,183978226496,22837421944,6265362093,what is api in whatsapp,whatsapp api,EXACT,NEAR_EXACT,2025-08-20,0,1,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
95,6265362093_183978226496_*,183978226496,22837421944,6265362093,what is whatsapp api,whatsapp api,EXACT,NEAR_EXACT,2025-08-20,1,1,64457420,0.0,0.0,1.0,64457420.0,2025-09-15 16:54:28
96,6265362093_183978226496_*,183978226496,22837421944,6265362093,whatsapp api client,whatsapp api,EXACT,NEAR_EXACT,2025-08-20,0,1,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
97,6265362093_183978226496_*,183978226496,22837421944,6265362093,whatsapp appi,whatsapp api,EXACT,NEAR_EXACT,2025-08-20,0,1,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
98,6265362093_183978226496_*,183978226496,22837421944,6265362093,whatsapp business api account,whatsapp api,EXACT,NEAR_EXACT,2025-08-20,0,1,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
99,6265362093_183978226496_*,183978226496,22837421944,6265362093,whatsapp business cloud api,whatsapp api,EXACT,NEAR_EXACT,2025-08-20,1,1,68580000,1.0,0.0,1.0,68580000.0,2025-09-15 16:54:28
100,6265362093_183978226496_*,183978226496,22837421944,6265362093,whatsapp message api,whatsapp api,EXACT,NEAR_EXACT,2025-08-20,0,1,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
101,6265362093_183978226496_*,183978226496,22837421944,6265362093,api whatsapp send,whatsapp api,EXACT,NEAR_EXACT,2025-08-21,0,1,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
102,6265362093_183978226496_*,183978226496,22837421944,6265362093,whatsapp business api official,whatsapp api,EXACT,NEAR_EXACT,2025-08-21,0,1,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
103,6265362093_183978226496_*,183978226496,22837421944,6265362093,whatsapp provider,whatsapp api,EXACT,NEAR_EXACT,2025-08-21,0,1,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
104,6265362093_183978226496_*,183978226496,22837421944,6265362093,how to setup whatsapp business api,whatsapp business api,EXACT,NEAR_EXACT,2025-08-19,0,1,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
105,6265362093_183978226496_*,183978226496,22837421944,6265362093,meta business whatsapp api,whatsapp business api,EXACT,NEAR_EXACT,2025-08-19,0,1,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
106,6265362093_183978226496_*,183978226496,22837421944,6265362093,wa business api,whatsapp business api,EXACT,NEAR_EXACT,2025-08-19,0,1,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
107,6265362093_183978226496_*,183978226496,22837421944,6265362093,what is whatsapp business api,whatsapp business api,EXACT,NEAR_EXACT,2025-08-19,0,1,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
108,6265362093_183978226496_*,183978226496,22837421944,6265362093,whatsapp api business,whatsapp business api,EXACT,NEAR_EXACT,2025-08-19,0,1,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
109,6265362093_183978226496_*,183978226496,22837421944,6265362093,whatsapp business api link,whatsapp business api,EXACT,NEAR_EXACT,2025-08-19,0,1,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
110,6265362093_183978226496_*,183978226496,22837421944,6265362093,whatsapp business cloud api,whatsapp business api,EXACT,NEAR_EXACT,2025-08-19,1,1,73240000,0.0,0.0,1.0,73240000.0,2025-09-15 16:54:28
111,6265362093_183978226496_*,183978226496,22837421944,6265362093,whatsapp business platform,whatsapp business api,EXACT,NEAR_EXACT,2025-08-19,0,1,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
112,6265362093_183978226496_*,183978226496,22837421944,6265362093,whatsapp catalog api,whatsapp business api,EXACT,NEAR_EXACT,2025-08-19,0,1,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
113,6265362093_183978226496_*,183978226496,22837421944,6265362093,whatsapp cloud api,whatsapp business api,EXACT,NEAR_EXACT,2025-08-19,0,1,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
114,6265362093_183978226496_*,183978226496,22837421944,6265362093,apply for whatsapp business api,whatsapp business api,EXACT,NEAR_EXACT,2025-08-20,0,1,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
115,6265362093_183978226496_*,183978226496,22837421944,6265362093,how to get a whatsapp api,whatsapp business api,EXACT,NEAR_EXACT,2025-08-20,0,1,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
116,6265362093_183978226496_*,183978226496,22837421944,6265362093,how to get whatsapp business api,whatsapp business api,EXACT,NEAR_EXACT,2025-08-20,0,1,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
117,6265362093_183978226496_*,183978226496,22837421944,6265362093,setup whatsapp business api,whatsapp business api,EXACT,NEAR_EXACT,2025-08-20,0,1,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
118,6265362093_183978226496_*,183978226496,22837421944,6265362093,what is whatsapp business platform,whatsapp business api,EXACT,NEAR_EXACT,2025-08-20,0,1,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
119,6265362093_183978226496_*,183978226496,22837421944,6265362093,whatsapp api for business,whatsapp business api,EXACT,NEAR_EXACT,2025-08-20,0,1,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
120,6265362093_183978226496_*,183978226496,22837421944,6265362093,whatsapp business api account,whatsapp business api,EXACT,NEAR_EXACT,2025-08-20,0,1,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
121,6265362093_183978226496_*,183978226496,22837421944,6265362093,whatsapp business api client,whatsapp business api,EXACT,NEAR_EXACT,2025-08-20,0,1,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
122,6265362093_183978226496_*,183978226496,22837421944,6265362093,whatsapp business api full form,whatsapp business api,EXACT,NEAR_EXACT,2025-08-20,0,1,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
123,6265362093_183978226496_*,183978226496,22837421944,6265362093,whatsapp business cloud api,whatsapp business api,EXACT,NEAR_EXACT,2025-08-20,0,1,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
124,6265362093_183978226496_*,183978226496,22837421944,6265362093,whatsapp ai chatbot,whatsapp chatbot api,EXACT,NEAR_EXACT,2025-08-20,0,1,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
125,6265362093_183978226496_*,183978226496,22837421944,6265362093,whatsapp chatbot,whatsapp chatbot api,EXACT,NEAR_EXACT,2025-08-20,0,1,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
126,6265362093_183978226496_*,183978226496,22837421944,6265362093,whatsapp using ai,whatsapp chatbot api,EXACT,NEAR_EXACT,2025-08-20,0,1,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
127,6265362093_183978226496_*,183978226496,22837421944,6265362093,broadcast list in whatsapp,whatsapp broadcast,EXACT,NEAR_EXACT,2025-08-19,0,1,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
128,6265362093_183978226496_*,183978226496,22837421944,6265362093,broadcast message in whatsapp,whatsapp broadcast,EXACT,NEAR_EXACT,2025-08-19,0,1,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
129,6265362093_183978226496_*,183978226496,22837421944,6265362093,broadcasting group in whatsapp,whatsapp broadcast,EXACT,NEAR_EXACT,2025-08-19,0,1,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
130,6265362093_183978226496_*,183978226496,22837421944,6265362093,bulk broadcast whatsapp,whatsapp broadcast,EXACT,NEAR_EXACT,2025-08-19,0,1,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
131,6265362093_183978226496_*,183978226496,22837421944,6265362093,mass message on whatsapp,whatsapp broadcast,EXACT,NEAR_EXACT,2025-08-19,0,1,0,0.0,0.0,0.0,0.0,2025-09-15 16:54:28
